title,content,category
コード,コードを書く,プログラミング
ソースコード,ソースコードを編集する,プログラミング
プログラム,プログラムを実行する,プログラミング
コーディング,コーディングを学ぶ,プログラミング
開発,アプリを開発する,プログラミング
実装,機能を実装する,プログラミング
アルゴリズム,アルゴリズムを考える,プログラミング
関数,関数を定義する,プログラミング
変数,変数に値を入れる,プログラミング
配列,配列にデータを保存する,プログラミング
クラス,クラスを作成する,プログラミング
オブジェクト,オブジェクトを生成する,プログラミング
インスタンス,インスタンスを作る,プログラミング
デバッグ,プログラムをデバッグする,プログラミング
エラー,エラーを修正する,プログラミング
バグ,バグを発見する,プログラミング
テスト,コードをテストする,プログラミング
リファクタリング,コードをリファクタリングする,プログラミング
設計,システムを設計する,プログラミング
仕様,仕様を確認する,プログラミング
API,APIを利用する,プログラミング
ライブラリ,ライブラリを追加する,プログラミング
フレームワーク,フレームワークを使う,プログラミング
パッケージ,パッケージをインストールする,プログラミング
Git,Gitで変更を管理する,プログラミング
GitHub,GitHubにコードを公開する,プログラミング
コミット,変更をコミットする,プログラミング
ブランチ,ブランチを作成する,プログラミング
リポジトリ,リポジトリを作成する,プログラミング
Docker,Dockerで環境を構築する,プログラミング
コンテナ,コンテナを起動する,プログラミング
サーバ,サーバを構築する,プログラミング
データベース,データベースに保存する,プログラミング
SQL,SQLでデータを検索する,プログラミング
Python,Pythonでプログラムを書く,プログラミング
C言語,C言語を学習する,プログラミング
C++,C++で開発する,プログラミング
JavaScript,JavaScriptで動きを付ける,プログラミング
AI,AIモデルを作成する,プログラミング
機械学習,機械学習で分類する,プログラミング
講義,講義を受ける,大学
授業,授業に出席する,大学
履修,授業を履修する,大学
単位,単位を取得する,大学
必修,必修科目を受ける,大学
選択科目,選択科目を選ぶ,大学
学部,学部で学ぶ,大学
学科,学科に所属する,大学
研究室,研究室で研究する,大学
教授,教授に質問する,大学
学生,大学生として生活する,大学
大学院,大学院へ進学する,大学
修士,修士課程に進む,大学
博士,博士課程で研究する,大学
卒論,卒論を書く,大学
研究,研究テーマを決める,大学
論文,論文を読む,大学
発表,研究内容を発表する,大学
ゼミ,ゼミに参加する,大学
実験,実験を行う,大学
課題,課題を提出する,大学
レポート,レポートを書く,大学
試験,試験を受ける,大学
成績,成績を確認する,大学
教科書,教科書を読む,大学
図書館,図書館で勉強する,大学
キャンパス,キャンパスを歩く,大学
時間割,時間割を確認する,大学
予習,授業の予習をする,大学
復習,授業内容を復習する,大学
インターン,企業でインターンをする,大学
就職,就職活動を行う,大学
睡眠,睡眠を取る,生活
起床,朝に起床する,生活
食事,食事をする,生活
料理,料理を作る,生活
朝食,朝食を食べる,生活
昼食,昼食を取る,生活
夕食,夕食を作る,生活
買い物,買い物に行く,生活
スーパー,スーパーで買う,生活
コンビニ,コンビニで買い物する,生活
財布,財布を持つ,生活
お金,お金を管理する,生活
家計,家計を管理する,生活
アルバイト,アルバイトをする,生活
通学,大学へ通学する,生活
電車,電車に乗る,生活
自転車,自転車で移動する,生活
休日,休日を楽しむ,生活
趣味,趣味を楽しむ,生活
ゲーム,ゲームを遊ぶ,生活
読書,本を読む,生活
音楽,音楽を聴く,生活
映画,映画を見る,生活
運動,運動をする,生活
筋トレ,筋トレを行う,生活
健康,健康を維持する,生活
病院,病院へ行く,生活
掃除,部屋を掃除する,生活
洗濯,洗濯をする,生活
スマホ,スマホを使う,生活
予定,予定を立てる,生活
スケジュール,スケジュールを管理する,生活
友達,友達と話す,生活
家族,家族と過ごす,生活
旅行,旅行へ行く,生活
節約,お金を節約する,生活
貯金,貯金をする,生活
ストレス,ストレスを解消する,生活
